what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335050458807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335050716132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335050718911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335050731566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335050738090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335050893614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1335050893629
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.203.v201109140236,"org.eclipse.wst.ws.service.policy.ui",1335050898865
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1335050898885
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1335050898959
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1335050898961
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1335050900078
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1335050900102
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1335050900476
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1335050900483
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1335050904510
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1335050909579
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1335050909592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335050910506
started,bundle,org.eclipse.wst.html.core,1.1.406.v201109271810,"org.eclipse.wst.html.core",1335050919270
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335050938313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335050938422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335050994071
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1335050994160
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1335050994611
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1335050995953
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1335050996033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051011769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051069213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051073167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051075215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051077307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051084694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051085453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051089932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051091125
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051106121
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1335051107058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1335051107531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051107842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051108407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051109537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051114773
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051116933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051118500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051121006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051122632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051125435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051131000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051133012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051137183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051137627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051142935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051146079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051183206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335051226260
